model,degradation,severity,imageCount,inferenceSeconds,map,ap50,ap75,ar100,smallAP,mediumAP,largeAP,smallAR,mediumAR,largeAR,missed,falsePositive,classification,localisation,cleanMap,absoluteDrop,retention
transformer,lowlight,4,500,622.4548107499722,0.24630292668973067,0.35517447588401724,0.268733571876357,0.3383579543089241,0.053711649299117446,0.19728721220961387,0.33025036488464843,0.07699995294809536,0.2740899778755046,0.4327967753433214,723,4974,226,132,0.497846974978098,0.2515440482883673,0.49473621226796927
transformer,lowlight,5,500,625.0371095421724,0.0407610974848736,0.06288760620586303,0.041831351218680424,0.07296573920345625,0.014530406648227138,0.028599363387033498,0.05705018799036798,0.015546218487394957,0.04627239243626481,0.09528333971097128,1391,3905,313,51,0.497846974978098,0.4570858774932244,0.08187475174809855
transformer,jpeg,0,500,571.9373124581762,0.497846974978098,0.6592795012795544,0.5477228067237728,0.6028001546993287,0.19936231457464162,0.4258481345545362,0.617770557798055,0.2749217065470935,0.5255494109538436,0.7035254406569809,152,6405,97,172,0.497846974978098,0.0,1.0
transformer,jpeg,1,500,601.3691157910507,0.4963970919943545,0.6577567593602047,0.5462400994778368,0.6014115168391754,0.20432107223639343,0.4241026509999756,0.6183360343477369,0.28188599798893915,0.5172585212193617,0.7001658430342447,187,6475,88,164,0.497846974978098,0.001449882983743489,0.9970876934949594
transformer,jpeg,2,500,596.9621807090007,0.48557355487911097,0.6454817030281809,0.5370863180894574,0.5914803238418048,0.19523708767747386,0.4045045670101548,0.6098124190241646,0.26865603028722224,0.5064458145983309,0.6971878620494429,182,7063,90,181,0.497846974978098,0.01227342009898702,0.9753470027621902
transformer,jpeg,3,500,613.0149297080934,0.468036198200782,0.6176231210695924,0.5080192376294151,0.5733643165397576,0.16700933005341848,0.3871088444371938,0.5900869582673843,0.23799693226163812,0.4894188221324507,0.680251229888604,243,7409,108,151,0.497846974978098,0.029810776777315973,0.9401206027642782
transformer,jpeg,4,500,606.9845832909923,0.4354700152654723,0.591424440668943,0.47728993516858026,0.5396434228405073,0.13260340473849097,0.3621263227368255,0.5565965149439186,0.1830923030787582,0.4594703091030469,0.6466444399640607,275,7814,128,169,0.497846974978098,0.06237695971262569,0.8747065607552001
transformer,jpeg,5,500,604.4802821660414,0.31255104337317763,0.44732464073728323,0.3381270976073433,0.42447703208406296,0.08844842299591948,0.2546776751397644,0.40177458727288956,0.14803746484280542,0.3557695204586641,0.5020057012575202,418,8433,224,164,0.497846974978098,0.18529593160492036,0.6278054484250464
cnn,blur,0,500,826.7245458341204,0.4311706053432537,0.6210984596947929,0.4900516540198979,0.5624303965295089,0.21033052924772694,0.3876895641092176,0.5144436402856152,0.3203562183573793,0.5079866746675936,0.6355162682722765,152,9851,89,155,0.4311706053432537,0.0,1.0
cnn,blur,1,500,903.2482329171617,0.4150618445524661,0.6039162485267195,0.4676112981472284,0.5427552290144135,0.19017675936417072,0.3719570158540633,0.49975339813615527,0.2684917133233697,0.48831507657908335,0.625091025465619,194,9607,101,142,0.4311706053432537,0.016108760790787602,0.9626394735838649
cnn,blur,2,500,898.8541334590409,0.3349652484205716,0.517451350574427,0.36739656312175534,0.4715032743929443,0.12991803093274418,0.2798139276554348,0.4309794449764771,0.16956661916801233,0.39609801321318017,0.5724584653840169,321,9425,132,144,0.4311706053432537,0.09620535692268206,0.7768740360997168
cnn,blur,3,500,905.0516154170036,0.261129865317869,0.4057254597100952,0.28506926926528275,0.39124474182120716,0.06568061168344651,0.18697934690034887,0.3547073702648482,0.08359920222536321,0.28684839916557436,0.5030437591146957,465,9363,210,152,0.4311706053432537,0.17004074002538466,0.6056300269123965
cnn,blur,4,500,904.7455595419742,0.20915865085877794,0.33557040724425863,0.21785514120196361,0.32199121278854664,0.02992186988645609,0.1351875951126609,0.2970691709321295,0.041413601090458683,0.21240576265428335,0.43879860793374725,607,8966,250,151,0.4311706053432537,0.22201195448447575,0.4850948748982258
